| Sigla | Mercado                  | Incluídos                                           | Excluídos                                                                      | Idioma                      |
| ----- | ------------------------ | --------------------------------------------------- | ------------------------------------------------------------------------------ | --------------------------- |
| ARM   | Árabe Mundo              | Worldwide                                           | Taiwan                                                                         | Árabe                       |
| AREU  | Árabe Europa             | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Árabe                       |
| ARIS  | Árabe Israel             | Israel                                              | Nenhuma                                                                        | Árabe                       |
| ARKU  | Árabe Kuwait             | Bahrein, Kuwait, Omã                                | Nenhuma                                                                        | Árabe                       |
| AROM  | Árabe Oriente Médio      | Emirados Árabes Unidos, Catar, Arábia Saudita       | Nenhuma                                                                        | Árabe                       |
| DE    | Alemanha                 | Áustria, Suíça, Alemanha, Liechtenstein, Luxemburgo | Nenhuma                                                                        | Alemão                      |
| BN    | Bangladesh               | Worldwide                                           | Taiwan                                                                         | Bengali                     |
| BNOM  | Bangladesh Oriente Médio | Emirados Árabes Unidos, Catar, Arábia Saudita       | Nenhuma                                                                        | Bengali                     |
| BR    | Brasil                   | Brasil                                              | Nenhuma                                                                        | Todos os idiomas            |
| BREUA | Brasil EUA               | Estados Unidos                                      | Nenhuma                                                                        | Português (Brasil)          |
| BREU  | Brasil Europa            | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Português (Brasil)          |
| BG    | Bulgária                 | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Búlgaro                     |
| KO    | Coreia                   | Coreia do Sul                                       | Nenhuma                                                                        | Coreano                     |
| HR    | Croácia                  | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Croata                      |
| ZHHK  | Chinês Hong Kong         | Hong Kong                                           | Nenhuma                                                                        | Chinês Tradicional (Taiwan) |
| ZHML  | Chinês Malásia           | Malásia                                             | Nenhuma                                                                        | Chinês Tradicional (Taiwan) |
| ZHTW  | Chinês Taiwan            | Taiwan                                              | Nenhuma                                                                        | Chinês Tradicional (Taiwan) |
| SK    | Eslováquia               | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Eslovaco                    |
| SL    | Eslovênia                | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Esloveno                    |
| ESM   | Espanhol Mundo           | Worldwide                                           | Bolívia, Guatemala, Nicarágua, Paraguai, Taiwan, Venezuela                     | Espanhol                    |
| ESARG | Espanhol Argentina       | Argentina                                           | Nenhuma                                                                        | Espanhol                    |
| ESCB  | Espanhol Colômbia        | Colômbia                                            | Nenhuma                                                                        | Espanhol                    |
| ESCH  | Espanhol Chile           | Chile                                               | Nenhuma                                                                        | Espanhol                    |
| ESEUA | Espanhol EUA             | Estados Unidos                                      | Nenhuma                                                                        | Espanhol                    |
| ESEU  | Espanhol Europa          | Europa                                              | Albânia, Bósnia e Herzegovina, Montenegro, Macedônia do Norte, Kosovo          | Espanhol                    |
| ESMX  | Espanhol México          | México                                              | Nenhuma                                                                        | Espanhol                    |
| TLOM  | Filipinas Oriente Médio  | Emirados Árabes Unidos, Catar, Arábia Saudita       | Nenhuma                                                                        | Filipino                    |
| TL    | Filipinas                | Worldwide                                           | Taiwan                                                                         | Filipino                    |
